Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,NumberOfWindows,Geo_Code,Claim
H13501,2012,1.0,1,N,V,V,U,1240.0,Wood-framed,without,75117,non
H14962,2012,1.0,0,N,V,V,U,900.0,Non-combustible,without,62916,non
H17755,2013,1.0,1,V,N,O,R,4984.0,Non-combustible,4,31149,oui
H13369,2016,0.5,0,N,V,V,U,600.0,Wood-framed,without,6012,oui
H12988,2012,1.0,0,N,V,V,U,900.0,Non-combustible,without,57631,non
H3052,2016,0.5,0,N,V,V,U,2675.0,Ordinary,without,38185,non
H16831,2014,1.0,1,V,N,O,R,2500.0,Non-combustible,2,78423,non
H19427,2015,1.0,0,V,N,O,R,2500.0,Non-combustible,7,31555,oui
H3893,2013,1.0,0,N,V,V,U,680.0,Non-combustible,without,39300,non
H14092,2013,1.0,0,N,V,V,U,605.0,Non-combustible,without,83129,non
H2379,2016,0.5,0,V,V,V,U,250.0,Fire-resistive,without,13117,non
H16676,2016,0.5,1,V,N,O,R,4392.0,Ordinary,4,92032,non
H18198,2012,0.5,0,V,N,O,R,5354.0,Non-combustible,5,64348,oui
H2571,2016,0.5,0,V,N,O,R,600.0,Fire-resistive,4,63032,non
H3729,2012,1.0,0,V,V,V,U,550.0,Fire-resistive,without,42187,non
H15094,2013,0.5,1,V,N,O,R,2340.0,Ordinary,7,92051,oui
H16112,2016,1.0,1,V,N,O,R,2000.0,Wood-framed,7,75118,non
H12660,2015,1.0,0,V,N,O,R,1076.0,Ordinary,4,59350,non
H14062,2015,1.0,0,N,V,V,U,560.0,Ordinary,without,64483,non
H15787,2014,1.0,0,V,N,O,R,2015.0,Non-combustible,3,64102,non
H17882,2013,1.0,1,V,N,O,R,4823.0,Ordinary,8,94018,oui
H14550,2012,1.0,1,V,N,O,R,2800.0,Wood-framed,8,6012,oui
H4057,2015,1.0,0,V,N,O,R,1700.0,Non-combustible,2,31555,non
H18319,2016,0.5,1,V,N,O,R,1700.0,Wood-framed,5,75115,non
H3579,2013,1.0,0,V,V,V,U,900.0,Fire-resistive,without,5077,non
H2539,2012,1.0,0,V,V,V,U,900.0,Non-combustible,without,57672,non
H6758,2015,1.0,0,V,N,O,R,1650.0,Non-combustible,3,62108,non
H4737,2012,0.5,1,N,V,V,U,2700.0,Ordinary,without,94002,oui
H16333,2013,1.0,0,V,N,O,R,1900.0,Non-combustible,2,83107,non
H16800,2016,0.5,0,V,N,O,R,3065.0,Non-combustible,8,76259,non
H15187,2014,1.0,1,V,N,O,R,484.0,Ordinary,4,92004,non
H16339,2013,1.0,1,V,N,O,R,880.0,Non-combustible,4,69034,non
H3738,2014,1.0,0,V,N,O,R,5873.0,Non-combustible,>=10,13209,oui
H6859,2016,1.0,1,V,N,O,R,830.0,Wood-framed,4,75112,non
H3291,2012,1.0,0,N,V,V,U,2650.0,Non-combustible,without,13202,non
H17353,2012,1.0,1,V,N,O,R,1010.0,Ordinary,3,94015,non
H4504,2013,1.0,0,V,V,V,U,1200.0,Non-combustible,without,60159,oui
H15910,2015,1.0,0,V,N,O,R,1100.0,Non-combustible,4,83126,non
H4286,2012,1.0,0,N,V,V,U,1592.0,Non-combustible,without,4126,non
H14841,2013,1.0,0,V,N,O,R,715.0,Fire-resistive,2,50626,non
H7374,2012,1.0,0,N,V,V,U,300.0,Non-combustible,without,34120,non
H1620,2013,0.5,0,V,V,V,U,4905.0,Non-combustible,without,34332,non
H18457,2016,0.5,0,V,N,O,R,500.0,Fire-resistive,4,42305,non
H18956,2013,1.0,0,V,N,O,R,2700.0,Ordinary,6,2A004,non
H17300,2012,1.0,1,V,N,O,R,716.0,Fire-resistive,2,33555,non
H4113,2012,1.0,1,N,V,V,U,1710.0,Wood-framed,without,75118,oui
H18750,2014,1.0,1,V,N,O,R,2414.0,Non-combustible,4,69244,non
H14088,2015,0.5,0,N,V,V,U,460.0,Wood-framed,without,75117,non
H12815,2015,1.0,1,N,V,V,U,800.0,Wood-framed,without,75117,oui
H2111,2012,1.0,0,V,N,O,R,1350.0,Non-combustible,4,26058,non
H4970,2013,1.0,0,V,N,O,R,4800.0,Non-combustible,5,29151,oui
H5969,2015,1.0,0,V,N,O,R,1100.0,Ordinary,5,54395,non
H17906,2012,1.0,1,V,N,O,R,1800.0,Ordinary,6,94068,non
H15050,2012,1.0,0,N,V,V,U,380.0,Non-combustible,without,13201,non
H14017,2013,1.0,1,V,N,O,R,2190.0,Non-combustible,5,76351,non
H267,2015,1.0,0,V,N,O,R,1445.0,Non-combustible,4,64422,non
H5126,2014,1.0,0,V,V,V,U,400.0,Non-combustible,without,66182,non
H225,2014,1.0,0,V,V,V,U,2897.0,Non-combustible,without,14118,oui
H6283,2013,1.0,0,V,N,O,R,380.0,Fire-resistive,4,12096,non
H13435,2012,1.0,1,N,V,V,U,1113.0,Wood-framed,without,75117,non
H12864,2014,1.0,1,N,V,V,U,520.0,Fire-resistive,without,74083,non
H1493,2014,1.0,1,V,N,O,R,790.0,Non-combustible,3,31555,non
H16714,2016,0.5,1,V,N,O,R,3936.0,Non-combustible,4,77449,non
H15161,2012,1.0,1,V,N,O,R,1500.0,Ordinary,6,94068,non
H1803,2012,1.0,1,V,V,V,U,2600.0,Ordinary,without,92026,oui
H17596,2014,1.0,0,V,N,O,R,350.0,Non-combustible,3,77372,oui
H6347,2014,0.5,0,V,V,V,U,180.0,Non-combustible,without,62108,non
H13287,2014,1.0,0,N,V,V,U,900.0,Non-combustible,without,64122,non
H14482,2012,1.0,1,V,N,O,R,999.0,Non-combustible,3,66130,non
H15295,2015,1.0,0,V,N,O,R,3300.0,Fire-resistive,3,74224,oui
H7253,2014,1.0,0,V,N,O,R,16811.0,Non-combustible,>=10,78372,oui
H4075,2012,1.0,0,V,V,V,U,455.0,Non-combustible,without,56260,non
H6096,2012,1.0,0,V,V,V,U,860.0,Wood-framed,without,6083,oui
H4104,2013,0.5,0,V,V,V,U,3186.0,Non-combustible,without,69091,non
H2553,2014,1.0,0,V,V,V,U,360.0,Fire-resistive,without,74173,non
H15998,2014,1.0,0,V,N,O,R,450.0,Non-combustible,4,4166,non
H15897,2012,1.0,1,V,N,O,R,500.0,Non-combustible,4,95306,oui
H14862,2014,1.0,1,N,V,V,U,2250.0,Ordinary,without,94068,non
H15810,2015,1.0,0,V,N,O,R,3904.0,Fire-resistive,4,16015,oui
H19023,2016,0.5,0,V,N,O,R,400.0,Ordinary,2,64483,non
H17319,2012,1.0,1,V,N,O,R,480.0,Non-combustible,3,69266,non
H3124,2012,1.0,0,N,V,V,U,1705.0,Non-combustible,without,13201,oui
H12745,2014,1.0,1,V,N,O,R,1160.0,Ordinary,5,93064,oui
H14773,2014,1.0,1,N,V,V,U,600.0,Non-combustible,without,13205,non
H14016,2012,1.0,0,N,V,V,U,1.0,Fire-resistive,without,21278,non
H6702,2014,1.0,0,V,N,O,R,220.0,Non-combustible,3,38314,non
H4704,2013,0.5,0,V,V,V,U,300.0,Fire-resistive,without,58194,non
H17683,2012,1.0,0,V,N,O,R,499.0,Fire-resistive,2,27229,non
H3237,2013,1.0,0,V,V,V,U,250.0,Fire-resistive,without,42097,non
H7084,2013,0.5,1,V,V,V,U,3287.0,Fire-resistive,without,13104,non
H5807,2015,1.0,0,V,V,V,U,2445.0,Fire-resistive,without,42110,non
H6407,2015,1.0,0,V,N,O,R,500.0,Non-combustible,4,42218,oui
H13650,2014,1.0,1,N,V,V,U,1200.0,Wood-framed,without,75105,oui
H14706,2015,0.5,0,N,V,V,U,80.0,Non-combustible,without,66048,non
H2765,2014,1.0,0,V,V,V,U,800.0,Ordinary,without,67482,non
H13984,2013,0.5,1,N,V,V,U,2015.0,Wood-framed,without,75118,non
H4998,2014,1.0,0,V,V,V,U,1370.0,Non-combustible,without,29232,non
H12733,2016,0.5,1,N,V,V,U,770.0,Ordinary,without,92050,non
H3986,2014,1.0,0,V,V,V,U,900.0,Ordinary,without,94022,oui
H6708,2015,1.0,0,N,V,V,U,500.0,Fire-resistive,without,74924,non
H2879,2014,0.5,0,V,V,V,U,10.0,Non-combustible,without,38239,non
H18405,2014,1.0,0,V,N,O,R,500.0,Ordinary,4,59512,non
H5304,2014,1.0,0,N,V,V,U,880.0,Fire-resistive,without,19031,non
H16751,2013,1.0,0,V,N,O,R,1010.0,Non-combustible,5,62193,non
H14483,2012,1.0,1,N,V,V,U,1120.0,Wood-framed,without,75117,non
H15833,2012,1.0,0,V,N,O,R,600.0,Wood-framed,3,6157,oui
H5872,2013,1.0,0,V,V,V,U,550.0,Non-combustible,without,30133,non
H7470,2014,1.0,0,V,V,V,U,,Fire-resistive,without,,non
H6384,2012,1.0,1,V,V,V,U,2500.0,Wood-framed,without,75116,oui
H5816,2014,1.0,0,V,V,V,U,3705.0,Fire-resistive,without,35288,non
H3303,2015,1.0,0,V,N,O,R,435.0,Non-combustible,6,14715,non
H2811,2014,1.0,0,V,V,V,U,7073.0,Non-combustible,without,68224,oui
H6516,2015,1.0,0,N,V,V,U,3200.0,Non-combustible,without,68271,non
H232,2016,1.0,0,V,V,V,U,800.0,Non-combustible,without,77379,non
